;---;ÁÊ;Â2;Â3;Ã4;Ê1;Ë1;Ï2;Ï1;ØÊ;ÂÊ;ÄÊ;Õ2;À1;Ì1;Ì2;Ì3;Ì4;Ì5;Ì6;Ì7;Ì8;Ç2;Ç1;Õ1;Ê2;Â1;Â4;Ã6;Ã2
29.03.2016;13;0;19;28;0;34;13;26;19;18;45;18;29;14;6;44;40;0;30;21;17;0;29;37;0;1;9;0;1;23
29.03.2016;14;0;21;26;0;28;21;22;18;23;46;27;29;16;4;50;44;26;37;34;23;0;33;33;18;1;15;0;2;23
29.03.2016;15;0;27;34;0;29;28;24;30;27;38;25;30;20;3;40;40;30;23;41;24;0;26;18;25;0;13;0;5;23
29.03.2016;16;0;15;38;0;24;22;21;23;22;42;27;26;13;2;49;45;23;25;29;26;13;25;27;9;0;0;0;0;23
29.03.2016;17;0;9;25;0;34;12;19;14;18;42;12;27;9;3;39;37;13;13;25;24;28;19;37;0;0;0;0;2;32
29.03.2016;18;0;17;35;0;37;11;20;9;20;33;29;38;13;1;41;32;16;27;30;30;36;25;31;0;2;0;0;5;32
29.03.2016;19;0;15;33;0;30;6;24;10;24;46;32;33;16;0;48;39;23;28;29;26;47;23;19;0;2;0;0;3;34
29.03.2016;20;0;8;27;0;44;14;11;17;10;43;23;30;18;0;35;29;24;21;21;22;44;28;14;0;0;0;0;1;41
29.03.2016;21;0;0;17;0;26;13;21;25;0;23;14;25;7;0;6;30;4;21;8;26;4;20;10;0;0;0;0;0;19
29.03.2016;22;0;0;10;0;28;13;12;19;0;22;11;18;5;0;0;16;0;15;0;14;0;28;7;0;0;0;0;0;20
29.03.2016;23;0;0;17;0;18;10;14;20;0;18;5;7;7;1;0;17;0;12;0;13;0;13;9;0;0;0;0;0;14
29.03.2016;24;0;0;11;0;19;3;11;9;0;5;5;2;3;0;0;8;0;7;0;5;0;6;11;0;0;0;0;0;8
30.03.2016;1;0;0;14;0;15;10;4;16;0;13;4;4;10;0;0;20;0;8;0;7;0;9;19;0;0;0;0;0;9
30.03.2016;2;0;0;14;0;19;19;8;19;0;23;3;3;15;0;0;26;0;14;0;10;0;13;14;0;0;0;0;1;17
30.03.2016;3;0;0;17;0;23;22;6;16;0;20;1;5;12;0;0;24;0;14;0;15;0;24;12;0;0;0;0;1;19
30.03.2016;4;0;8;25;7;34;25;13;14;7;32;9;18;15;0;2;33;5;28;7;24;3;28;20;0;0;0;10;0;31
30.03.2016;5;0;18;25;13;25;18;14;12;15;44;18;28;16;0;36;37;24;28;29;25;42;21;15;0;0;0;18;0;24
30.03.2016;6;0;9;17;9;30;9;26;20;9;44;31;30;11;0;51;39;27;33;28;16;42;28;23;0;0;0;13;1;25
30.03.2016;7;0;16;25;1;39;9;22;23;13;38;24;37;5;4;44;37;24;28;31;22;32;25;24;0;1;0;0;0;29
30.03.2016;8;0;18;33;0;32;8;26;25;9;38;31;38;5;5;42;32;20;34;38;27;29;16;27;0;0;0;0;0;24
30.03.2016;9;0;26;46;0;36;21;25;16;11;28;22;23;13;6;49;30;0;25;25;16;4;26;33;0;0;0;0;1;29
30.03.2016;10;0;31;40;0;22;36;24;20;18;35;16;34;33;3;45;37;0;27;29;29;0;30;33;0;0;20;0;0;21
30.03.2016;11;1;27;28;0;24;31;27;20;22;32;15;33;26;4;36;30;0;36;38;27;0;30;35;0;1;16;0;0;16
30.03.2016;12;0;34;26;0;19;25;21;24;12;31;16;33;19;3;41;28;0;33;27;29;0;28;40;1;0;11;0;0;17
30.03.2016;13;0;24;30;0;36;19;21;21;16;45;23;27;15;1;53;39;0;29;33;24;0;32;31;15;1;4;0;1;28
30.03.2016;14;0;22;39;0;37;25;27;22;21;42;20;28;17;4;52;42;0;44;38;23;0;31;30;25;1;0;0;0;29
30.03.2016;15;0;18;43;0;35;19;33;29;32;43;24;30;19;2;44;33;6;45;47;25;0;33;20;17;0;0;0;2;29
30.03.2016;16;0;15;41;0;32;14;26;20;18;47;28;25;10;2;53;44;29;29;27;16;0;37;26;12;0;0;0;0;30
30.03.2016;17;0;10;29;0;40;13;17;13;21;44;33;31;9;3;38;41;27;33;28;22;11;40;30;0;0;0;0;0;42
30.03.2016;18;0;11;32;0;30;13;19;9;22;40;23;40;13;2;48;41;0;28;34;36;32;20;36;0;1;0;0;2;32
30.03.2016;19;0;15;33;0;32;10;29;12;26;43;27;36;21;0;41;33;0;32;28;27;38;30;30;0;1;0;0;0;31
30.03.2016;20;0;10;30;0;52;13;27;19;13;49;25;37;13;2;32;35;0;28;30;26;45;36;25;0;0;0;0;1;45
30.03.2016;21;0;0;17;0;34;9;27;27;0;22;15;25;9;1;14;30;0;24;13;24;7;17;16;0;0;0;0;0;18
30.03.2016;22;0;0;13;0;28;7;20;20;0;25;11;20;5;0;0;24;0;12;0;26;0;29;11;0;0;0;0;0;27
30.03.2016;23;0;0;18;0;28;10;16;16;0;17;10;8;9;0;0;20;0;10;0;10;0;14;11;0;0;0;0;0;16
30.03.2016;24;0;0;11;0;12;3;8;7;0;6;5;3;4;0;0;7;0;4;0;5;0;6;11;0;0;0;0;0;6
31.03.2016;1;0;0;8;0;9;7;2;10;0;14;5;4;4;0;0;19;0;7;0;6;0;7;17;0;0;0;0;0;6
31.03.2016;2;0;0;11;0;16;15;12;14;0;16;1;1;11;0;0;16;0;13;0;11;0;10;13;0;0;0;0;1;13
31.03.2016;3;0;0;12;0;33;19;11;18;0;20;2;3;10;0;0;21;0;16;0;13;0;22;15;0;0;0;0;1;27
31.03.2016;4;0;0;23;0;35;24;12;26;0;32;11;18;10;0;0;39;0;27;0;31;0;37;21;0;0;0;0;0;37
31.03.2016;5;0;14;30;0;38;16;21;15;12;38;17;27;19;0;27;28;0;33;31;28;23;26;18;0;1;0;0;0;36
31.03.2016;6;0;10;20;0;24;7;27;22;11;36;26;37;13;0;40;27;0;35;34;25;31;22;18;0;1;0;0;1;30
31.03.2016;7;0;20;30;0;33;9;22;27;12;35;18;36;6;1;18;38;0;33;33;23;16;21;22;0;0;0;0;0;26
31.03.2016;8;0;16;39;0;31;15;25;26;8;41;29;34;12;2;0;42;0;45;17;33;0;30;30;0;1;0;0;0;32
31.03.2016;9;0;22;37;0;27;24;22;19;11;31;26;28;19;1;0;42;0;36;0;32;0;27;34;0;0;22;0;2;27
31.03.2016;10;0;23;32;0;22;23;27;27;26;32;19;28;19;0;0;41;0;41;0;50;0;23;22;0;0;20;0;0;18
31.03.2016;11;0;25;38;0;25;17;24;23;21;32;18;30;14;3;0;39;0;37;0;46;0;24;29;0;0;7;0;0;18
31.03.2016;12;0;31;40;0;21;26;20;20;13;38;14;30;17;2;0;51;0;33;0;40;0;23;40;0;0;1;0;0;19
31.03.2016;13;0;18;28;0;29;17;17;15;13;42;17;21;12;2;10;56;0;24;0;28;0;29;44;0;1;0;0;1;20
31.03.2016;14;0;14;32;0;29;22;24;18;26;37;24;26;15;3;58;40;0;40;0;46;0;31;48;13;1;0;0;1;18
31.03.2016;15;0;23;49;0;27;35;25;20;30;43;20;31;23;2;39;43;0;45;0;52;0;31;26;11;0;0;0;3;24
31.03.2016;16;0;11;38;0;27;20;23;25;28;42;29;31;14;4;51;41;0;49;0;51;0;39;32;0;0;0;0;0;29
31.03.2016;17;0;9;28;0;32;10;18;17;28;39;16;32;10;3;46;42;0;26;0;42;0;45;38;0;0;0;0;0;36
31.03.2016;18;0;10;30;0;30;13;24;11;23;42;23;36;11;0;47;41;0;30;0;39;0;38;35;0;2;0;0;2;32
31.03.2016;19;0;13;37;0;35;6;37;12;26;49;26;29;15;0;47;39;0;42;30;29;36;29;24;0;3;0;0;0;35
31.03.2016;20;0;0;29;0;44;10;21;23;1;42;19;32;11;0;34;33;0;30;20;23;37;29;24;0;0;0;0;1;42
31.03.2016;21;0;0;12;0;28;10;22;22;0;27;16;26;7;1;0;36;0;23;0;26;0;25;17;0;0;0;0;0;19
31.03.2016;22;0;0;13;0;25;6;13;16;0;20;8;16;4;0;0;21;0;11;0;17;0;28;10;0;0;0;0;0;28
31.03.2016;23;0;0;20;0;26;10;9;15;0;19;6;9;6;1;0;20;0;12;0;9;0;14;6;0;0;0;0;0;16
31.03.2016;24;0;0;15;0;11;13;10;6;0;8;2;4;7;0;0;11;0;4;0;6;0;5;12;0;0;0;0;0;4
